Barrio;Población;Mujeres;Hombres
Agronomía;13912;7404;6508
Almagro;131699;72828;58871
Balvanera;138926;75653;63273
Barracas;89452;46715;42737
Belgrano;126831;70358;56473
Boedo;47306;25371;21935
Caballito;176076;97206;78870
Chacarita;27761;14678;13083
Coghlan;18604;9997;8607
Colegiales;52551;29037;23514
Constitución;44107;23441;20666
Flores;164310;87984;76326
Floresta;37575;20250;17325
La Boca;45113;23808;21305
La Paternal;19717;10390;9327
Liniers;44132;23737;20395
Mataderos;64436;34012;30424
Montserrat;39914;20974;18940
Monte Castro;33623;18130;15493
Nueva Pompeya;42695;22463;20232
Núñez;51949;28104;23845
Palermo;225970;125389;100581
Parque Avellaneda;53229;27841;25388
Parque Chacabuco;56281;30126;26155
Parque Chas;17489;9241;8248
Parque Patricios;40985;22093;18892
Puerto Madero;6726;3115;3611
Recoleta;157932;89890;68042
Retiro;65413;34218;31195
Saavedra;50295;26893;23402
San Cristóbal;48611;26283;22328
San Nicolás;29273;15227;14046
San Telmo;20453;10814;9639
Vélez Sarsfield;35081;18917;16164
Versalles;13822;7367;6455
Villa Crespo;81959;44757;37202
Villa del Parque;55273;30213;25060
Villa Devoto;66521;34762;31759
Villa General Mitre;34713;18700;16013
Villa Lugano;126374;66003;60371
Villa Luro;32502;17308;15194
Villa Ortúzar;21736;11619;10117
Villa Pueyrredón;39654;21315;18339
Villa Real;13419;7078;6341
Villa Riachuelo;14084;7477;6607
Villa Santa Rita;33325;17688;15637
Villa Soldati;46779;24212;22567
Villa Urquiza;91563;49384;42179
